IDIOM,meaning,uses
lights are on but nobody is home,"used to describe a stupid person
something that you say when you think someone is stupid
when someone does not react because they are thinking about something else
have a brain, but not using it
used to tell that someone lacks cleverness or alertness","I tried all to understand him, but the lights are on but nobody is home.
John has no idea about this - the lights are on but nobody’s home.
Lilly studied about interior designing but the lights are on nobody is home."
bell the cat,,
liquor up,"get someone drunk
get someone tipsy
encourage someone to drink liquor, usually in excess
to become drunk
to consume alcohol","When their friends came for a visit, they took them to the bar and liquored them up.
The sales people liquored up the potential customers in the hope of winning the deal.
When Dean and May went on a date together, he liquored her up and tried to take her home with him.
His jealous relatives liquored him up trying to find out how much his grandfather had left him as inheritance.
He got liquored up at the pub and started a fight over a trivial issue.
After he broke up with his girlfriend, he used to keep indoors and spend all day liquoring himself up.
Our new neighbors seem to have the habit of staying out late and liquoring up every night.
When the detective realised that the person could be having critical information, he started liquoring him up and tried to get him to talk."
take the edge off,"blunt the effect of
reduce the impact of
make less severe","Have a painkiller - it'll take the edge off the pain your in hand.
Her apology took the edge of his anger.
After a strong hard work, I need to eat something to take the edge off fatigue and hunger.
The coconuts took the edge off the dehydration and hunger when I was lost on an isolated island.
I don’t know how to take the edge off the fear from heights.
Do some meditation and yoga this will take the edge off the stress."
early days,"it is too soon to make a judgment about something
a time too soon to come to a conclusion
the starting phase of anything","The new measures seem to have worked, but it's early days yet and the Reserve Bank of India Governor would rather not make any comment about the country's economy.
This is the last over of The Grand finale Cricket match, England could win but it's early days yet.
My new business is doing pretty well in terms of profit, but it's early days.
I anticipate my son will win the spelling contest this year, from his current presentation, but it is early days yet to be truly certain.
In the early days of cars, the technology was not that advance as now.
The humans are soon going to land on planets like earth outside our solar system, but it's early days yet."
play by ear,"learn music by ear
to play by remembering the tune, without printed music
to play a musical instrument by remembering the tune and not by reading the music","My sister learned to play the piano by ear when she was a child.
Hey, Jill I can play the keyboard by ear, without printed music.
I never tried to play the guitar by ear but I can try for you.
One friend of mine easily play the Saxophone by ear.
After a hard work of many year finally I've been able to play any music instrument by ear now."
play it by ear,"improvise
act without preparation
to let things go as they may
determined on the circumstances
according to the demand of the situation","Rather than adopting a new academic strategy, the principal decided to play it by ear.
I don't know what I will do when she will come in front of me. Let's just play it by ear.
I am not sure whether my plan will work or not, so let just play it by ear.
Jane said that she has to play it by ear because she is not sure where to go tomorrow morning.
It's hard to know how the situation will develop. Let's just play it by ear.
We can play it by ear and decide where to meet later.
Question: Hey, Bob are you coming to play the baseball this Sunday?
Answer: I am not sure Nobita, let's play it by ear."
do the trick,"successfully achieve a result
do just what is required
get the preferred consequence","If nothing seems to be working, just pray to the God, sometimes that does the trick.
I am sure that herbal medicines will does the trick to cure your back-pain.
If the lemonade tastes a bit sour, add a teaspoon of sugar that should do the trick.
I am not getting network range on my mobile phone, getting on the top floor should do the trick.
I am tired of running behind girls to find true love, please tell me something that do the trick."
just deserts,"get what one deserves
punishment or reward that is considered to be what the recipient deserved
what you deserve
what's coming to you
retribution
a punishment or reward","After the supervisor was suspended, many workers felt that he got his just deserts.
He killed my innocent bird, but got his just deserts when he was beaten by somebody for abusing.
Our neighbor Mr. Jones got just deserts when he was left helpless in need by her wife, he never ever respected her.
Sarah has got no sympathy for her son and husband, she got his just deserts.
The criminals must always receive their just desserts.
Be patience - those who cheated you will get their just deserts one day.
Those who work honestly will receive their just desserts."
deals with,"be concerned with something
to take action about something
to handle someone or something","We will have to plan our strategy to deal with the rising incident of theft.
Don’t afraid of this project, this is very easy and we can deal with it.
I don’t think I would be able to deal with Jones, he is very arrogant person.
My brother usually deals with the people of Japan for business purposes.
I am not going to deal with the property advisor; I will directly go to the owner of the house, to purchase that"
in high dudgeon,"feeling or exhibiting great resentment
taking great offense at something
a reaction of extreme righteous anger","After the scuffle, the man who was affronted left in high dudgeon.
Julia strode from the meeting in high dudgeon, and I knew she would get his revenge eventually.
Banging the door in Catty's face, Kelly drove off in high dudgeon.
Veronica drove off in high dudgeon, she was waiting you for last 3 hours.
John came storming into the kitchen in high dudgeon."
dribs and drabs,"in small irregular quantities
in small pieces, bit by bit","The checks for the charity are coming in dribs and drabs.
The water is coming in dribs and drabs from the pipe.
This poetry is being written in dribs and drabs.
George paid the borrowed money from me in dribs and drabs.
He started earning money in dribs and drabs but now he is a successful businessman.
I don't like the way you do your work in dribs and drabs, please finish it immediately."
drop a bombshell,"make an unexpected, startling or disturbing announcement
reveal surprising information or news","My sister dropped a bombshell by announcing she was discontinuing her study for a job.
Ruth dropped a bombshell when she told us she is pregnant.
I do not have the courage to drop that kind of bombshell on my family.
The boss dropped a bombshell, saying my leave application was rejected by the director.
The Australian Cricket Board dropped a bombshell when they announced that they won’t go to play the series in Pakistan this year.
Jane dropped a bombshell when she said she was leaving."
on the dot,"exactly on time
at a precise time","We were asked to be there at five on the dot.
The Metro train arrived at five o'clock on the dot.
Ruth came promptly on the dot of nine.
The birthday party will begin at 7 on the dot.
My daughter leaves for school at six on the dot at early morning."
double whammy,"situation where two bad things happen at the same time
double blow or setback.","Boss fired me from the job and I lost my wallet too, what a double whammy?
It is a double whammy for Lara; she lost his son and husband in terrible road accident.
Media claims the cut in public spending coupled with a pay freeze is a double whammy for low-paid workers.
With the heat-wave and the electricity breakdown problems, Indians were hit with a double whammy this summer.
Indian public have faced the double whammy of rising rupees and falling incomes.
A double whammy when the house was burned along with the safe locker contained money."
dead end,"a street, corridor, road, pipe etc., that has no exit
a position or job with no hope of progress; blind alley
the situation or project with no prospects of improvements","The interlocutors have reached a dead end in their efforts to discover a peaceful solution to the imbroglio.
In spite of the scientist’s efforts the research leads to a dead end.
This narrow passage dead-ends at the park.
Burger shop is at the border of village on a dead end street."
deja vu,"already seen (Literal meaning in French)
a feeling that one has already experienced something that is happening currently
psychology the false impression of having already experienced something in real being experienced for the first time.","She suddenly had a strong sense of déjà vu.
When I entered the church, I had a strange sense of déjà vu.
When I saw the image, I had a strange feeling of déjà vu.
After the marriage ceremony, when I took first drink, I had strange feeling of déjà vu."
doldrums,"be inactive
very quiet or dull
in a low or lethargic state
sluggish, in low spirits","A cut in interest rates on housing loans can lift the property market out of the doldrums.
When the financial system of the country is in the doldrums, my business feels the effects.
My dog has been in the doldrums these past couple of days and nothing I do seems to cheer him up.
My horse is in the doldrums, I cannot take part in horse racing this week.
Don't be in the doldrums, get up and let's find some way to get out of here."
wash dirty linen in public,"discuss publicly matters that one should keep private
to discuss in public one's private scandals, disagreements, or difficulties
to unveil private problems with public","She decided not to take the family dispute to court as she feared it would only lead to a lot of washing of dirty linen in public.
Listen, our relationship may have real problems, but it's unfortunate that you have chosen to wash our dirty linen in public.
My parents taught me not to wash my dirty laundry in public that the reason I only discusses private issues with family.
I never understand why you wash all your dirty linen in public in your group discussions."
in dire straits or need,,
toll or sound the death knell,,
turn a deaf ear,,
dab hand,,
throw dust in eyes,,
well-to-do,"rich and of good social status
having plenty of money and possessions
in favorable circumstances
in fortunate circumstances financially","In the capital's well-to-do suburbs, hiring a security guard has become a must for every family.
People living below poverty line protested against the new tax bill that favored the well-to-dos.
Most of well-to-do parents send their wards to London for study.
One friend mine is quite well-to-do and she is kind heart.
They are lucky who born in a well-to-do family.
I was not born in well-to-do family, but I worked really hard to reach this level.
He was a quite well-to-do business man but left everything becomes a Buddhist monk."
at a discount,,
dirt cheap,,
a rough diamond,,
devil may care,,
at death's door,"on the point of dying
very ill
in serious danger of death
very near the end of one's life (Often an exaggeration)
in a life-threatening state of health","Most of the survivors of the airplane crash are still at death's door.
Don't overstate, it was only flu - you were barely at death's door.
Jane was so ill that she was at death's door for three days.
Whenever she had a bad cold she acted as though she were at death's door.
Owing to coming up of malls and super market every other day in the town the old neighborhood store is at death's door.
The family cat was at death's door for three days, and then it finally died.
She literally was at death's door when a kidney became available for transplant.
Jack lay at death's door for over a month.
I do not want to lie at death's door suffering. I hope to pass on quickly.
Poor Jon! He has blood cancer and I fear he's at death's door.
The young man was at death's door after that catastrophic accident."
on demand,,
de facto,"existing in fact
although not necessarily intended
legal or accepted
in reality or fact
actually","English is de facto the common language of much of the world today.
Ronny has established himself as the de facto leader of the party.
The common language used throughout the world is de facto English
She is known to be de facto cruel with how she murders her victims.
I have worked hard is proving that I am the de facto leader of the company.
The pub operates in this area de facto but no one know where they are exactly put up.
A de facto state of war is not something that our neighbours can afford right now.
The de facto law is that not one person is to litter in this society.
The area president has announced a de facto benefit scheme for people who buy a property here."
de jure,,
down in the dumps,"a gloomy
unhappy
sad
in low spirits
in melancholy mood
in depressed state of mind
lacking engagement or enthusiasm.","As the things were not going well for her at work, she was feeling a bit down in the dumps.
Little Jon is down in the dumps because all her friends are gone away with their parents.
She's a bit down in the dumps because she's got to take her exams again.
Carl now always remains down in the dumps because of the diabetes.
My cat got fever today and she is not playing but feeling down in the dumps.
After losing the general election of president, Jack really felt down in the dumps.
When her husband left for America she was too down in the dumps."
lame duck,,
play duck and drakes,,
like or as a duck to water,,
a drop in the ocean,,
at the drop of a hat,"at the slightest signal
immediately, without delay
without any hesitation
without any planning and for no obvious reason","We now have a situation where laws are bent at the drop of a hat.
Dustin was always ready to go fishing at the drop of a hat.
If you need help, just call on Mike. He can come at the drop of a hat.
I can't go rushing off to Edinburgh at the drop of a hat.
She'd purchase her expensive jewelry at the drop of a hat and worry about how she would pay for it later.
We're expected to just do it at the drop of a hat - no notice or anything. It's disgraceful.
People will file lawsuits at the drop of a hat these days.
I'd quit my job at the drop of a hat if I didn't have a family to support.
That girl is so emotional; she'll start crying at the drop of a hat."
drop a line,,
dressed to kill,,
in the driver's seat,,
draw the line,,
never in wildest dreams,,
drag feet or heels,,
on the drawing board,,
down the drain,"to waste something
to a futile end (nothing good happens in the end)
in a state of ruin
to waste something (usually money)
on the way to being lost","Fixing that old car is just money down the drain, it will never run properly again.
I feel like I am just flushing money down the drain at this stage, no one can help me with my broken plumbing.
All of my efforts seem to be going down the drain, no one seems to care.
Since my brother took over my parents’ company, it is going down the drain.
All of my savings have gone down the drain after our weekend in Vegas, I have almost nothing left.
All of his lotto winnings have gone down the drain, he has wasted it on cars and parties.
If you keep up acting like this, your reputation will go down the drain, no one will respect you anymore.
My whole life is going down the drain waiting for this investment to make money.
Our work went down the drain when NGO stopped funding the project in the halfway.
If the factory closes, that will be a million pounds' worth of investment down the drain.
I'm scared I'm going to be out of a job, and my 12 years of experience will be down the drain.
We cannot afford to let our train system go down the drain.
A lot of money went down the drain in that Wilkinson deal."
on doorstep,"very near to where somebody lives
to be in the vicinity
to be near where someone lives
to be present in the neighbourhood
right up to the house","The best thing about having a house in this society is that all the popular eating joints are right at our doorstep.
The biggest park in the city is right at her doorstep. She can go for a jog anytime she likes.
It is fantastic to know that such a popular actor lives right at your doorstep. I will be coming over more often now.
I got the food delivered on my doorstep. It is so convenient to just place orders online these days.
She stood at my doorstep for a very long time but since the children and I were alone at home I did not open the doors to a stranger.
I finished the ice cream on the doorstep. If I would have known you were home I would have shared it with you.
Tina put her foot on the doorstep of the cottage for her in-laws to take her in again.
The children are playing on the doorstep. I cannot get them to go out or come inside to play.
Oh my God, I never known that my favorite singer lives on your doorstep.
The third round of the US economic slowdown is literally at the doorstep of all the developing countries."
doubting thomas,,
down the road,,
dot the i's and cross the t's,,
down and out,,
done in,,
done for,"to be over
to suffer or be close to dying
something that is about to get over or fail
through, completed or finished
to ruin, destroy or fatally injure","The deal is done for I am not going to speak with that man again.
That too old car is just about done for.
The marriage is done for There is nothing more left to fight for.
I am not going to be prize for him to win. I am done for looking for marriage proposals this way.
The job was done for him by his colleagues. He just had to come to office and sign the papers.
The event is already done for by the industrialist. There is no more scope to add networking partners.
Her make is all done for by the people organizing the fashion show. She is not shelling out anything for it.
I am done for standing up for people who themselves cannot pick the fight.
The assignment is done for me by my brother who also took the same course last year.
With missiles flying overhead and machine guns shooting at us, I thought we were done for."
go to the dogs,,
show the door,,
till doomsday,,
dog tired,,
dog in the manger,"one who prevents others from enjoying something despite having no use for it
spiteful and mean-spirited
someone who keeps something that they do not want in order to prevent someone else from getting it
a person who selfishly keeps something that he or she does not really need or want so that others may not use or enjoy it","Stop being such a dog in the manger and let your sister ride your bike if you're not using it.
Why be a dog in the manger? If you aren't going to use those tickets, let someone else have them.
Young children are probably the best examples of dogs in the manger, refusing to let other children play with their toys even though they are not playing with them themselves."
dog eat dog,,
throw to the wolves,,
dog's life,,
in the dock,,
dos and don'ts,,
do or die,"a situation in which you must take a big risk in order to avoid failure
requiring supreme effort to avoid the dire consequences of failure
to try to achieve a goal or fail making the effort
involving a determined and sometimes reckless effort to succeed
reflecting or characterized by an irrevocable decision to succeed at all costs
a situation that is extremely important, and failure would result in a big problem","A do-or-die attempt to halt the invaders.
Exams are near it's do or die people.
On Wednesday, it's do or die in the Cricket match against Australia.
When Quentin had to give a presentation to some new clients, his boss warned him that it would be a do or die situation.
Well, I guess it is do-or-die so decide if you really want to join our team.
He was in a do-or-die situation to the bitter end.
A do-or-die situation
I am working hard to defeat my competitor and to win I have to do or die.
When I was lost in desert, it was a do or die situation for me to survive."
divide and conquer or rule,,
treat like dirt,,
keep your chin up,"be stalwart and courageous in a tough situation
remain brave and keep on trying
a confident appearance under emotional stress
to uphold a jolly temperament instead of disappointments","Don't let the difficulties intimidate you; keep your chin up.
Even if things have been difficult for you, always keep your chin up, everything will be normal and alright soon.
Hey, Bob keep your chin up, we're not lost yet.
Being a wife of a soldier she kept her chin up when she heard the enemy attack on military camp, where here husband was staying.
My mom always taught me to keep my chin up in every situation if I want to win.
Keep you chin up, we shall conquer this difficult time.
Annabel is very hardworking lady, she faced many seriously bad circumstances in her life, but she had always kept her chin up and now she is a successful and rich lady living happily with her family."
come a cropper,"to not succeed at something
to fall over
to fail at a venture
something that has come to its ruin
to fail miserably","The minister came a cropper as soon as she was elected. Hence she was transferred from her ministry and given something else to do in the cabinet.
She seemed to come a cropper shortly after her promotion as cabinet minister."
by dint of,,
a dime a dozen,"something very common and not having much value
something that is abundant, cheap and very common
something that is very common and not of much value
so plentiful as to be valueless
something that is easily acquired","Adventure and traveling based reality shows are now outdated and a dime a dozen.
Websites on health and fitness are a dime a dozen nowadays, but not all of them are accurate and have correct information.
Low paying jobs are a dime a dozen and anyone can get one if they try, but the high paying ones are not so easy to get and require proper and relevant skills.
Coaching classes are a dime a dozen, but most of them are of low quality and do not deliver on their promise. The really good ones are far fewer.
Cheap watches like this have flooded the market. You can get them a dime a dozen.
Small time local music bands are a dime a dozen. Groups of youngsters form these bands dreaming of making it big someday."
dig own grave,,
dig heels in,"to be firm and resolute about something
to take a stand by resisting
to be unyielding
to be obstinate about something
to insist to a level where the other side has to give up, but not with a popular opinion of the issue
usually referred as stubbornness and hard-headedness about something","The businessman was digging heels about buying these stocks even though all of his business partners were against it. They finally had to give him his way.
I suggested it would be quicker to fly, but he dug his heels in and insisted on travelling by a bus.
Although it would have been easier to fly to the destination, my uncle dug heels on going by train because it would be cheaper.
The politician dug heels about making the whole agenda about women’s safety this time. Hopefully they will be able to come up with practical solutions to the problem.
I was digging heels to enter into the commerce stream even though my family wanted me to go for science.
Although it seemed that he was digging heels about taking this vacation, now that I am here, I am enjoying it quite a lot too.
It is either dig heels or obey the commands in this family. Nothing else works."
dig up dirt,,
never say die,,
the die is cast,"an unalterable decision has been reached, or step taken.",
die in harness,"to expire while working
keep working to the end
to pass away before retirement","She doesn't want to retire - she'd rather die in harness.
I fear of dying in harness before I become a soldier.
I want to retire now, I don't want to die in harness
My grandfather was very hard working and brave and he died in harness.
Who wants to die in harness? But I cannot stop working I like my job."
give the devil his due,"give credit to an opponent's merits, grudgingly or not.
to give your rival appropriate praise
the acclamation of some goodness in a bad person, thing or situation
when you owe the devil, you should pay up","I don't like what the new management has done, but give the devil his due, sales have improved.
The new car mechanic is very angry, rude person, also give the devil his due he is a good mechanic though.
Amy is very arrogant and offensive, but she is beautiful. I'll give the devil his due.
Their service is awfully expensive but there is none other like them so I have to give the devil his due.
Apple's iPhone is very expensive I cannot afford but that's a quality product. I must give the devil his due."
between the devil and the deep blue sea,,
die hard,,
deliver the goods,"do what is required
come up to expectation
achieve what one undertakes
fulfill one's promises","So far the team's new player has failed to deliver the goods. He failed to open his account in his first three games.
They are bright young executives with bright ideas, but it is doubtful if can they deliver the goods."
have designs on,,
get a raw deal,,
fall on deaf ears,,
over my dead body,"in no way, under no circumstances
willing to go to extreme lengths to stop something from happening
an exaggerated way of saying, ""Absolutely not""","You will go on a date with my sister over my dead body!
I told John that he could shave his head, over my dead body.
You think that I will give you the keys to my car? Over my dead body.
If they go ahead with their plan to cut down those trees, they'll have to do so over my dead body."
dead and buried,,
day of reckoning,,
"day in, day out",,
all in a day's work,"refers to the work that is done regularly by someone
all part of one's normal routine or job or range of experience
used to say that you have no problem doing something because it is part of your daily activities or job","Teaching difficult students might sound like a nightmare to other people but to teachers it is all in a day's work.
Cleaning up after five children is all in a day's work for the stay at home mom.
Working 60 hours a week is not an easy feat, but for the doctor it is all in a day's work.
The electric man, Winston worked in heavy rains to restore all the power lines, but it's all in a day's work.
Even when she is not sad, crying all in a day's work for my wife."
win the day,,
call it a day,"stop doing something, especially working
to give up work and go back to home
finishing the work of a day
to discontinue some regular activity","After second heart attack, she decided it would be best to follow her doctor's advice and call it a day.
I am not done yet, I can't call it a day I need to work more for couple of hours.
I think we have done enough work today, I am feeling tired now, let’s call it a day.
After providing services for more than 30 years to NASA, Bill Scot decided to call it a day.
I am fed up of going work at early morning I am just calling it a day and will look for another easy job.
He has been a paperboy since last 6 years but now calling it a day because he just got a better job in a multinational company.
These days Ronnie is watching television everyday more than three hours a day, his Dad going to call it a day immediately after arriving from his business trip to abroad.
We call it a day right after the 9 hours of hard working everyday, neither more nor less.
When you are going to call it a day? I wonder why don't you just return back to your hometown when things are not in your favour there?"
dark horse,"a little known, unexpectedly successful entrant
someone who was previously unknown, but suddenly emerges into prominence
someone who keeps their skills and ideas secret and surprises others by doing something unexpected
a person who wins a race or competition though no one expected them to win","You never can tell, some dark horse many come along and win a House of Lords seat.
Though many favoured the bigger teams to win the competition, the local team was a dark horse, and surprised everyone with their dazzling performances.
Everyone thought that the seasoned campaigner would win the election this time, but the new candidate turned out to be a dark horse and beat him comfortably.
While Dennis is the favourite to win the contest, our own local boy Harris could turn out to be a dark horse with his talent and skills.
No one knew about her earlier, but suddenly she is being seen as the dark horse with such amazing display of her abilities.
A lot of people are saying that she could be the dark horse for winning a medal in the championships."
put damper on,"to discourage someone from doing something that they want to
to show the negative side of something which will lead to the plan of the person wanting to do it, spoilt
to dull down or numb an experience that was otherwise anticipated to be enthralling or exciting
to make something or an experience less enjoyable than expected","The rain today put a damper on the picnic plans.
He loves to put a damper on every plan that I make!
The news of our uncle's demise put the damper on the entire wedding event.
This movie was supposed to be the best one this year and you have put a damper on it for me by revealing the climax.
The rain often puts a damper on my friends' New Year plans in this part of the world.
Just because he lost his wallet does not mean that he gets to put a damper on my evening too. I am going for the party whether he wants to come along or not.
We fell ill as soon as we landed which put a damper on the entire trip.
The violence before the round table conference is bound to put the dampers on the peace talks."
dance to tune,"to do what someone else forces you to do
doing what someone else makes you do
always do what somebody else tells one do, whether he or she agrees with it or not
dance to your own tune means to do things your way, not the way others dictate
dance to a different tune means to change your behaviour","In order to keep the peace Peter has to dance to his wife's tune.
My new boss wants everyone to dance to his tune.
My sister wants us to all go on holiday together. I am not going to dance to her tune.
My husband is so grumpy when he doesn't get his way. So, I danced to his tune and went with him to the car show this weekend.
I have always been a bit of a free spirit. I dance to my own tune.
I will not be able to work for a strict boss, I dance to my own tune.
I hope that being arrested will make drunk drivers dance to a different tune.
Powerful businessman seem to have the district officials dancing to their tune."
a damp squib,,
wouldn't dream of,,
at daggers drawn,"almost ready to fight
when two people are very upset with each other
to be in a state of open hostility
when two people do not trust each other
to be prepared to fight someone or something (like another country)
at odds
in disagreement
fighting or quarreling
at each other's throat
in conflict","The two schools have been at daggers drawn for months. Ever since they played in the championship game.
John and his father have been at daggers drawn for years. Nobody knows why they are so hostile towards each other.
The countries are at daggers drawn about the use of the canal that they share.
The two companies are at daggers drawn over the new software that is going to revolutionize their industry.
The two neighboring countries have several times been at daggers drawn over-extraction of the natural resources from the ocean."
down to earth,"decent, simple, realistic
practical and straightforward
sensible and pragmatic","She is very down to earth person, not at all attracted by the glamour world.
Initially, I was not interested to meet the parents of my girl friend, but after last night's dinner treat I found them very nice and down to earth couple.
There are few people in the world are down to earth these days.
Canadians are known as very humble and down to earth people but this is not applicable for all of them.
I miss my schooldays teacher, Miss Marry, she was really a down to earth lady.
I can easily identify the people those who pretends to be down to earth but they are not in real."
fingers crossed,"a gesture of crossed fingers used to express good luck
to expect that something will happen in good way as desired
hope that things will happen in the way you want them to
used to express the hope of something desired will happen","Good luck with your test tomorrow, I'll have my fingers crossed.
I'm keep my fingers crossed that my husband clears the written interview this Monday to join British Intelligence Bureau.
Fingers crossed that my brother Jack will get a promotion soon.
I have been trying to call her on phone since last week - fingers crossed that I will be able to hear her today.
Airline companies keep fingers crossed as it's the only transportation option left since several landslides has blocked all the roads on entire mountain range."
get foot in the door,,
make all the difference,,
out of the depth,,
in deep water,"a very serious situation
a time of great difficulty
often a situation that one is not capable of resolving on one's own
in difficulty
in problem","The political party is in deep water after it was discovered that their candidate had lied in the report.
If you don't bring back my dad's car in one piece I will be in deep water.
After my husband lost his job we were in deep water.
I am in deep water at work. I do not know how I am going to finish the proposal in time.
Our company is in deep water. We have overextended out loan and we are unable to pay the bank.
I am in deep water with my sister. I promised that I would be able to find a venue for her wedding but everything is booked.
I'm going to be in deep water if my boss refuses to approve the project done by me after the hard work of a week."
frighten or scare to death,,
in the dark,,
cross path,,
not give a damn,"to not care
to be indifferent
to be irresponsible","Their son does not give a damn about their health. His ill habits are costing the entire family now.
I don't give a damn of how you make it but you have to come to my party.
She does not give a damn about his money, she is so much more capable of earning for herself.
My lawyer told him that the judge does not give a damn about whether he is lying. The case has already been severely harmed by his brother’s dialogue delivery in the court.
How could he not give a damn about his own property? He should come here at least once in a while to check the place out.
Some people just cannot give a damn to their health issues.
The majority of chemical factories in developing countries like India don't give a damn about the environment."
chop and change,,
chapter and verse,,
camp follower,"a person who is supportive of the cause, person or organisation
an associate
'camp' could relate to another person, religion, organisation or any business association too","The only issue of being related to a celebrity is that the camp followers never leave you alone.
I am a camp follower of his aerobics techniques.
To be a camp follower requires one to believe in the camp. You my friend, do not qualify.
Could it be that famous actors have a habit of their privacy being invaded by camp followers?
This particular political party has a lot of camp followers because of the invigorating speeches that their leaders make.
It is true that all camp followers listen to him speak on the radio every morning. To start your day with such fresh thoughts is what brings people back the next day.
The camp followers knew that she will be travelling to Europe this month.
Now-a-days camp following is much easier with social media like Facebook and Twitter.
The trouble with having a music celebrity as one's spouse is all the camp followers and fans forever trying to invade your privacy."
come up,,
come up with,"to find a new thought
usually referred to ideas and referred with the name of the person who produced it","The team has to come up with cost saving ideas soon otherwise the budget cut will cost them a lot.
It is usually the father’s sister who comes up with a name for the baby in the Indian culture.
To come up with a solution so soon is not going to be easy especially since the problem is such a long standing one.
It is imperative that the doctors come up with something quick to stop these ghastly pains that she keeps experiencing.
The pharmaceutical world will forever be grateful to you for coming up with such a brilliant idea to manage prosthetic.
She comes up with lame excuses to hide the fact that the work is not done.
The child came up with an idea for a festive card for his mother all by himself. His father helped him make it though.
I came up with a thought to help the old man out.
I came up with a name for your newly adopted German Shepherd dog."
come on,"to request to hurry (something)
to ask to go faster
to plead to do something sooner
to bring something forward
could be used with a sexual connotation","The waiter asked us to come on and get the table before the people who had reserved it would arrive. Big tips do work!
I have to be at the exam hall in 10 minutes, please come on!
We had asked her to come on the train ride with us, so she obliged.
The builder said, ""come on, we must hurry"" to his project manage when he was visiting the site.
""Sir, please come on this way', the usher said to me in the theatre.
Come on, you are delaying me too!
I ask my children to come on when they sit for food every day.
The case from the trial came on way too early. This is good for our judiciary system.
The person who tried to come on her on New Year’s Eve was caught on the very next day.
Come on, I want to watch the movie today!
Come on, I have only few minutes before I must go."
come to a head,"to reach a point in a situation where action needs to be taken
a culmination of events leading to a conclusion
come to a crucial point
to come to a point when a problem must be solved","The negative political climate in America seems to have come to a head.
The investigation came to a head last week when my colleague was found guilty of fraud.
The battle between the two factions of the city's leading sport club came to a head today."
cost an arm and a leg,"very expensive
costing a lot of money
to be very expensive
a very large and exorbitant sum of money
very costly
excessively pricey
cost a fortune","I'd really like to have a new farm house, but it may cost me an arm and a leg.
This dress is really nice, but it cost me an arm and a leg.
You must visit that restaurant; the food is really good, and it doesn't cost you an arm and a leg.
""How much would you pay for luxurious farmhouse by the beach? An arm and a leg?""
I would have loved to go with my friends on a vacation, but it would have cost me an arm and a leg.
The show is excellent, but the tickets cost an arm and a leg.
He really wants to go to that event. He's willing to pay an arm and a leg for it.
I went to the auction but didn't pick up anything. Everything cost an arm and a leg.
This resort lets you experience luxury without having to pay an arm and a leg."
carry out,,
a cinch,"an extremely easy task
an absolute certainty
something that is very easy to do
a piece of cake
as easy as pie
an easy thing
a simple task
child's play
a breeze
a doddle
a gift
nothing","I have been preparing for this presentation for the last six months. This promotion will be a cinch for me.
We can make some pasta in a cinch if you have the correct ingredients.
There are some tips on the internet that makes starting your own business a cinch.
My new dishwasher makes cleaning up a cinch.
Beating their team in the finals will be a cinch. We are bigger and better prepared.
Mathematics is a cinch for me. The only part that I struggle with is algebra.
I was not confident of finishing the work in time, but with the right preparation, it became a cinch."
come to a pretty pass,,
choke up,"make a person become overemotional and speechless
to make a person begin to cry
the state of being so emotional that a person is not able to say anything further
a state where a person cannot do anything but cry because of feelings of fear or sadness
the phrase is also used for machinery and automobiles when they do not start due to mechanical failures or engine shut down","He chokes up every time someone brings up the topic of their sudden movement to a new country. Perhaps there is a story behind it that we do not know about.
His new car chokes up every time the weather gets cold.
To choke up on stage is a common phenomenon that every student in this academy gets over very easily.
The student choked up during the examination when he could not answer any of the questions that the examiner asked him.
She is so emotional that she chokes up every time someone dies in a movie.
The fact that a death in the family makes us choke up only shows that we are humans, bounded by mortality.
All the relatives choked up at the funeral procession that was awfully emotional moment for everyone there."
go through channels,"to follow the correct steps in order to get something done
to use the correct procedure in order to achieve something
proceed by consulting the proper persons or offices","If you want to get a new licence you will have to go through the proper channels. Otherwise it will not be legal.
If you do not go through the proper channels, we will be unable to process your request.
It is important to go through the proper channels in order to get the funding for the new park approved.
Did you go through the proper channels when you applied for the grant?
We did not get the funding that we wanted because we did not go through channels.
You will need to go through channels in order to get the budget approved.
You need to go through channels to get the job that is opening up at our company. I cannot help you in getting hired.
If you want an answer to your questions, you'll have to go through channels."
head in the clouds,"daydreaming or absentminded
be unaware of what is going on
not being actively aware of your present situation
thinking in an illogical or delusional manner","He roams around all night with his head in the clouds.
Kim does not like the logic and keeps his head in the clouds all the time.
Lolita has her head in the clouds if she thinks she will win the tournament.
The government has its head in the clouds when it comes to the rebels.
He is not right for this job; he has his head in the clouds.
Most of the time she is having her head in the clouds."
cash in,"to earn out of something in big amounts
to get returns on an investment
to make a huge profit
to get cash in exchange for
could be used negatively highlighting ill means of making money","He has cashed in on the estate that his father created. I do not believe he has anything to call his own out there.
People who invest in diamonds always cash in the benefits later.
I fail to understand why cashing in is the only goal that today’s generation makes for themselves.
It is hard to digest that my brother’s wife cashed in the necklace that belonged to my mother. She was not even entitled to it!
This is a good year for investing in real estate and gold, and you can cash in on it."
creme de la creme,"to be exclusive
to be the best in class
when referring to people, this phrase points to really rich or influential people who are far away from commoners","The children of the crème de la crème crowd go to this school. Needless to say that it is among the costliest in town.
Only the crème de la crème people are able to enroll in this club.
She promised me results which would be the crème de la crème but after rubbing the lotion on my face for a month also I have not seen any results.
The Universal Group of Art is acknowledged as the creme de la creme from all of the art groups of academy."
from the cradle to the grave,,
